X,Y,Cluster Size,ADU Value
222,1080,1,129.70593485796718
417,1432,1,130.70593485796718
484,1433,1,129.70593485796718
680,975,1,132.70593485796718
782,1344,1,117.70593485796718
943,1399,1,132.70593485796718
1039,1393,1,111.70593485796718
1101,1405,1,116.70593485796718
1144,1420,1,120.70593485796718
1261,1556,1,123.70593485796718
1292,353,1,156.70593485796718
1381,1118,1,127.70593485796718
1474,272,1,142.70593485796718
1568,1425,1,116.70593485796718
1663,1070,1,143.70593485796718
1804,1336,1,126.70593485796718
74,1457,2,148.41186971593436
76,1335,2,158.41186971593436
112,1065,2,154.41186971593436
272,1437,2,156.41186971593436
304,1449,2,112.41186971593436
429,1430,2,142.41186971593436
532,1254,2,113.41186971593436
648,1447,2,117.41186971593436
694,1200,2,115.41186971593436
908,1418,2,140.41186971593436
976,1256,2,117.41186971593436
1084,1475,2,110.41186971593436
1140,654,2,128.41186971593436
1288,1429,2,113.41186971593436
1292,1293,2,117.41186971593436
1565,1464,2,114.41186971593436
1593,1306,2,121.41186971593436
1613,1383,2,132.41186971593436
1786,100,2,137.41186971593436
1938,1501,2,121.41186971593436
1943,1432,2,114.41186971593436
3,1780,3,119.11780457390151
7,1250,3,191.11780457390154
24,1283,3,174.11780457390154
45,2,3,111.11780457390151
55,1312,3,174.11780457390154
72,1354,3,185.11780457390154
107,791,3,111.11780457390151
108,1460,3,121.11780457390151
110,1097,3,126.11780457390151
117,1321,3,169.11780457390154
177,1314,3,144.11780457390154
180,1485,3,114.11780457390154
214,1391,3,115.11780457390151
217,1462,3,135.11780457390154
224,821,3,117.11780457390151
248,1300,3,149.11780457390154
271,1301,3,134.11780457390154
279,1295,3,133.11780457390154
337,1211,3,119.11780457390152
337,1307,3,121.11780457390151
337,1440,3,112.11780457390151
353,1314,3,111.11780457390151
359,1171,3,124.11780457390154
369,1528,3,124.11780457390154
455,1429,3,123.11780457390152
512,804,3,134.11780457390154
551,1287,3,129.11780457390154
565,1425,3,117.11780457390151
618,1220,3,130.11780457390154
810,1277,3,125.11780457390152
884,1049,3,111.11780457390151
887,552,3,120.11780457390151
895,751,3,129.11780457390154
907,1277,3,128.11780457390154
922,1419,3,150.11780457390154
939,1361,3,111.11780457390154
969,1285,3,124.11780457390151
1085,1421,3,115.11780457390154
1166,1289,3,129.11780457390154
1267,1363,3,118.11780457390154
1290,1385,3,111.11780457390151
1307,1442,3,114.11780457390151
1351,659,3,120.11780457390151
1368,1199,3,118.11780457390154
1444,1378,3,165.11780457390154
1444,1445,3,111.11780457390152
1461,1409,3,112.11780457390151
1462,1414,3,111.11780457390154
1506,1346,3,115.11780457390154
1519,1452,3,113.11780457390151
1637,344,3,125.11780457390151
1685,1512,3,159.11780457390154
1698,1323,3,177.11780457390154
1732,1747,3,112.11780457390154
1771,1481,3,152.11780457390154
1790,1327,3,142.11780457390154
1843,1479,3,122.11780457390151
1861,1479,3,112.11780457390152
1902,1473,3,118.11780457390152
1999,1505,3,113.11780457390151
2008,1327,3,121.11780457390151
2034,1524,3,115.11780457390152
5,2,4,116.82373943186869
7,607,4,143.82373943186872
9,2,4,111.82373943186869
9,620,4,128.8237394318687
13,1460,4,159.8237394318687
18,1320,4,131.8237394318687
21,970,4,110.82373943186869
22,1449,4,139.8237394318687
23,1316,4,146.8237394318687
23,114,4,118.82373943186869
26,1465,4,116.82373943186869
30,1454,4,139.8237394318687
32,1344,4,115.82373943186869
34,1313,4,151.8237394318687
38,2,4,126.82373943186869
50,1461,4,195.8237394318687
60,1220,4,122.82373943186869
60,1311,4,129.8237394318687
61,1336,4,151.8237394318687
60,1436,4,125.82373943186869
66,1033,4,149.8237394318687
71,1467,4,126.82373943186869
72,1333,4,143.82373943186872
76,2,4,112.82373943186869
82,1075,4,136.8237394318687
84,1463,4,124.82373943186869
93,1338,4,197.82373943186872
96,1341,4,111.82373943186869
97,939,4,129.8237394318687
98,1149,4,120.82373943186869
105,1452,4,145.8237394318687
111,1466,4,119.82373943186869
120,1460,4,151.8237394318687
134,1445,4,140.8237394318687
145,1306,4,116.82373943186869
147,1193,4,129.8237394318687
150,1835,4,140.8237394318687
151,1305,4,125.82373943186869
180,1298,4,123.82373943186869
193,1300,4,140.8237394318687
194,1024,4,114.82373943186869
199,1434,4,110.82373943186869
216,1125,4,150.82373943186872
218,1315,4,145.8237394318687
223,1399,4,127.82373943186869
233,1304,4,150.8237394318687
236,1294,4,123.82373943186869
269,1294,4,125.82373943186869
282,393,4,122.82373943186869
290,1312,4,147.82373943186872
334,1449,4,110.82373943186869
343,1450,4,115.82373943186869
349,1437,4,126.82373943186869
362,1483,4,153.8237394318687
383,1436,4,114.82373943186869
398,1260,4,137.82373943186872
484,1230,4,112.82373943186869
501,971,4,133.8237394318687
563,749,4,138.8237394318687
573,1247,4,111.82373943186869
582,1425,4,123.82373943186869
618,1305,4,127.82373943186869
711,1782,4,130.8237394318687
737,1417,4,114.82373943186872
799,628,4,133.8237394318687
826,1276,4,151.8237394318687
867,1358,4,113.82373943186869
967,1413,4,119.82373943186869
1016,1468,4,112.82373943186869
1046,1023,4,180.82373943186872
1048,1412,4,111.82373943186869
1092,1422,4,125.82373943186869
1114,1397,4,115.82373943186869
1184,1293,4,125.82373943186869
1229,1283,4,124.82373943186869
1293,1241,4,116.82373943186869
1366,1243,4,117.82373943186869
1395,1758,4,112.82373943186869
1437,346,4,115.82373943186869
1505,1456,4,117.82373943186869
1525,1445,4,127.82373943186869
1538,1255,4,151.8237394318687
1549,41,4,142.8237394318687
1677,1461,4,111.82373943186869
1744,1326,4,165.82373943186872
1764,1329,4,121.82373943186869
1836,1429,4,112.82373943186869
1894,1345,4,120.82373943186869
1899,1346,4,114.82373943186869
1920,1512,4,174.8237394318687
1928,1494,4,111.82373943186869
1970,1333,4,110.82373943186869
1971,1502,4,165.82373943186872
2036,1511,4,118.82373943186869
