X,Y,Photon Count,ADU Value
0,0,2,28.82359117542955
0,2,2,43.82359117542955
1,0,2,23.82359117542955
1,2,2,40.82359117542955
2,0,2,24.82359117542955
2,2,2,40.82359117542955
0,35,2,22.82359117542955
0,36,2,26.82359117542955
1,35,2,47.82359117542955
1,36,2,68.82359117542956
2,35,2,20.82359117542955
2,36,2,32.82359117542955
0,146,2,40.82359117542955
0,147,2,75.82359117542956
1,146,2,29.82359117542955
1,147,2,23.82359117542955
1,148,2,26.82359117542955
0,162,3,31.82359117542955
0,163,3,42.82359117542955
0,164,3,105.82359117542956
1,163,3,49.82359117542955
1,164,3,64.82359117542956
2,164,3,20.82359117542955
0,163,3,42.82359117542955
0,164,3,105.82359117542956
1,163,3,49.82359117542955
1,164,3,64.82359117542956
2,164,3,20.82359117542955
2,165,3,22.82359117542955
0,164,2,105.82359117542956
1,164,2,64.82359117542956
2,164,2,20.82359117542955
2,165,2,22.82359117542955
0,176,2,21.82359117542955
0,177,2,69.82359117542956
1,177,2,45.82359117542955
2,177,2,20.82359117542955
0,177,3,69.82359117542956
0,178,3,35.82359117542955
1,177,3,45.82359117542955
1,178,3,41.82359117542955
1,179,3,21.82359117542955
2,177,3,20.82359117542955
2,179,3,28.82359117542955
0,191,2,28.82359117542955
1,191,2,56.82359117542955
2,190,2,30.82359117542955
2,191,2,57.82359117542955
0,191,2,28.82359117542955
1,191,2,56.82359117542955
1,192,2,43.82359117542955
2,190,2,30.82359117542955
2,191,2,57.82359117542955
0,191,2,28.82359117542955
1,191,2,56.82359117542955
1,192,2,43.82359117542955
2,191,2,57.82359117542955
1,338,2,36.82359117542955
2,337,2,30.82359117542955
2,338,2,106.82359117542956
1,338,2,36.82359117542955
1,339,2,26.82359117542955
2,337,2,30.82359117542955
2,338,2,106.82359117542956
0,374,3,23.82359117542955
0,376,3,33.82359117542955
1,374,3,21.82359117542955
1,375,3,31.82359117542955
1,376,3,56.82359117542955
2,375,3,36.82359117542955
2,376,3,45.82359117542955
0,376,2,33.82359117542955
1,375,2,31.82359117542955
1,376,2,56.82359117542955
2,375,2,36.82359117542955
2,376,2,45.82359117542955
2,377,2,27.82359117542955
0,405,2,24.82359117542955
0,406,2,26.82359117542955
1,406,2,26.82359117542955
1,407,2,49.82359117542955
2,406,2,20.82359117542955
2,407,2,47.82359117542955
0,406,2,26.82359117542955
1,406,2,26.82359117542955
1,407,2,49.82359117542955
2,406,2,20.82359117542955
2,407,2,47.82359117542955
0,480,1,25.82359117542955
0,481,1,49.82359117542955
2,480,1,30.82359117542955
2,481,1,39.82359117542955
0,480,2,25.82359117542955
0,481,2,49.82359117542955
0,482,2,24.82359117542955
1,482,2,24.82359117542955
2,480,2,30.82359117542955
2,481,2,39.82359117542955
2,482,2,30.82359117542955
0,568,2,20.82359117542955
0,570,2,42.82359117542955
1,568,2,30.82359117542955
1,569,2,22.82359117542955
1,570,2,24.82359117542955
2,570,2,24.82359117542955
0,570,2,42.82359117542955
0,571,2,52.82359117542955
1,569,2,22.82359117542955
1,570,2,24.82359117542955
1,571,2,25.82359117542955
2,570,2,24.82359117542955
1,653,2,39.82359117542955
1,654,2,25.82359117542955
2,653,2,65.82359117542956
2,654,2,44.82359117542955
1,653,2,39.82359117542955
1,654,2,25.82359117542955
2,653,2,65.82359117542956
2,654,2,44.82359117542955
2,655,2,20.82359117542955
0,690,2,23.82359117542955
0,691,2,21.82359117542955
1,690,2,20.82359117542955
2,689,2,35.82359117542955
2,690,2,59.82359117542955
2,691,2,35.82359117542955
0,690,2,23.82359117542955
0,691,2,21.82359117542955
0,692,2,20.82359117542955
1,690,2,20.82359117542955
2,690,2,59.82359117542955
2,691,2,35.82359117542955
1,786,2,25.82359117542955
2,786,2,23.82359117542955
2,788,2,152.82359117542956
